,domains,state-province,country,alpha_two_code,web_pages,name
60,['hope.ac.uk'],,United Kingdom,GB,['http://www.hope.ac.uk/'],Liverpool Hope University College
61,['hud.ac.uk'],,United Kingdom,GB,['http://www.hud.ac.uk/'],University of Huddersfield
62,['hull.ac.uk'],,United Kingdom,GB,['http://www.hull.ac.uk/'],University of Hull
63,['huron.ac.uk'],,United Kingdom,GB,['http://www.huron.ac.uk/'],Huron University USA in London
64,['hw.ac.uk'],,United Kingdom,GB,['http://www.hw.ac.uk/'],Heriot-Watt University
65,"['imperial.ac.uk', 'ic.ac.uk']",,United Kingdom,GB,['http://www.imperial.ac.uk/'],Imperial College London
66,['ifslearning.ac.uk'],,United Kingdom,GB,['http://www.ifslearning.ac.uk/'],ifs University College
67,['ihr.sas.ac.uk'],,United Kingdom,GB,['http://ihr.sas.ac.uk/'],"Institue of Historical Research, University of London"
68,['ioe.ac.uk'],,United Kingdom,GB,['http://www.ioe.ac.uk/'],"Institute of Education, University of London"
69,['islamiccolleges.com'],,United Kingdom,GB,['http://www.islamiccolleges.com/'],International Colleges of Islamic Science
70,['kcl.ac.uk'],,United Kingdom,GB,['http://www.kcl.ac.uk/'],"King's College London, University of London"
71,['keele.ac.uk'],,United Kingdom,GB,['http://www.keele.ac.uk/'],Keele University
72,['kingston.ac.uk'],,United Kingdom,GB,['http://www.kingston.ac.uk/'],Kingston University
73,['kolieh.com'],,United Kingdom,GB,['http://www.kolieh.com/'],International Centre for Isclamic Science
74,['lamp.ac.uk'],,United Kingdom,GB,['http://www.lamp.ac.uk/'],"University of Wales, Lampeter"
75,['lancs.ac.uk'],,United Kingdom,GB,['http://www.lancs.ac.uk/'],University of Lancaster
76,"['lboro.ac.uk', 'student.lboro.ac.uk']",,United Kingdom,GB,['http://www.lboro.ac.uk/'],Loughborough University
77,['lbs.lon.ac.uk'],,United Kingdom,GB,['http://www.lbs.lon.ac.uk/'],London Business School
78,['lcst.ac'],,United Kingdom,GB,['http://www.lcst.ac/'],London College of Science & Technology
79,['le.ac.uk'],,United Kingdom,GB,['http://www.le.ac.uk/'],University of Leicester
80,['leeds.ac.uk'],,United Kingdom,GB,['http://www.leeds.ac.uk/'],University of Leeds
81,['lgu.ac.uk'],,United Kingdom,GB,['http://www.lgu.ac.uk/'],London Guildhall University
82,['limt.co.uk'],,United Kingdom,GB,['http://www.limt.co.uk/'],London Institute of Management and Technology
83,['lincoln.ac.uk'],,United Kingdom,GB,['http://www.lincoln.ac.uk/'],University of Lincoln
84,['liv.ac.uk'],,United Kingdom,GB,['http://www.liv.ac.uk/'],University of Liverpool
85,['ljmu.ac.uk'],,United Kingdom,GB,['https://www.ljmu.ac.uk/'],Liverpool John Moores University
86,['leedsbeckett.ac.uk'],,United Kingdom,GB,['https://www.leedsbeckett.ac.uk/'],Leeds Beckett University
87,['lon.ac.uk'],,United Kingdom,GB,['http://www.lon.ac.uk/'],University of London
88,['londonmet.ac.uk'],,United Kingdom,GB,['http://www.londonmet.ac.uk/'],London Metropolitan University
89,['lsbf.org.uk'],,United Kingdom,GB,['http://www.lsbf.org.uk/'],London School of Business & Finance
90,['lse.ac.uk'],,United Kingdom,GB,['http://www.lse.ac.uk/'],"London School of Economics and Political Science, University of London"
91,['lshtm.ac.uk'],,United Kingdom,GB,['http://www.lshtm.ac.uk/'],"London School of Hygiene & Tropical Medicine, University of London"
92,"['manchester.ac.uk', 'mbs.ac.uk', 'man.ac.uk']",,United Kingdom,GB,['http://www.manchester.ac.uk/'],University of Manchester
93,['mdx.ac.uk'],,United Kingdom,GB,['http://www.mdx.ac.uk/'],Middlesex University
94,['med.ic.ac.uk'],,United Kingdom,GB,['http://www.med.ic.ac.uk/'],Imperial College School of Medicine
95,['mmu.ac.uk'],,United Kingdom,GB,['http://www.mmu.ac.uk/'],The Manchester Metropolitan University
96,['napier.ac.uk'],,United Kingdom,GB,['http://www.napier.ac.uk/'],Napier University
97,['ncl.ac.uk'],,United Kingdom,GB,['http://www.ncl.ac.uk/'],University of Newcastle-upon-Tyne
98,['newport.ac.uk'],,United Kingdom,GB,['http://www.newport.ac.uk/'],"University of Wales, Newport"
99,['niu.org.uk'],,United Kingdom,GB,['http://www.niu.org.uk/'],Newport International University
100,['northampton.ac.uk'],,United Kingdom,GB,['http://www.northampton.ac.uk/'],University of Northampton
101,['nottingham.ac.uk'],,United Kingdom,GB,['http://www.nottingham.ac.uk/'],University of Nottingham
102,['ntu.ac.uk'],,United Kingdom,GB,['http://www.ntu.ac.uk/'],Nottingham Trent University
103,['open.ac.uk'],,United Kingdom,GB,['http://www.open.ac.uk/'],Open University
104,"['oxford.ac.uk', 'ox.ac.uk']",,United Kingdom,GB,['http://www.ox.ac.uk/'],University of Oxford
105,['paisley.ac.uk'],,United Kingdom,GB,['http://www.paisley.ac.uk/'],University of Paisley
106,['plymouth.ac.uk'],,United Kingdom,GB,['http://www.plymouth.ac.uk/'],University of Plymouth
107,['port.ac.uk'],,United Kingdom,GB,['http://www.port.ac.uk/'],University of Portsmouth
108,"['qmw.ac.uk', 'qmul.ac.uk']",,United Kingdom,GB,['http://www.qmul.ac.uk/'],"Queen Mary, University of London"
109,['qub.ac.uk'],,United Kingdom,GB,['http://www.qub.ac.uk/'],The Queen's University Belfast
110,['ram.ac.uk'],,United Kingdom,GB,['http://www.ram.ac.uk/'],"Royal Academy of Music, University of London"
111,"['rca.ac.uk', 'network.rca.ac.uk']",,United Kingdom,GB,['http://www.rca.ac.uk/'],Royal College of Art
112,['rcm.ac.uk'],,United Kingdom,GB,['http://www.rcm.ac.uk/'],"Royal College of Music, University of London"
113,['rdg.ac.uk'],,United Kingdom,GB,['http://www.rdg.ac.uk/'],University of Reading
114,['rfhsm.ac.uk'],,United Kingdom,GB,['http://www.rfhsm.ac.uk/'],"Royal Free Hospital School of Medicine, University of London"
115,['rgu.ac.uk'],,United Kingdom,GB,['http://www.rgu.ac.uk/'],The Robert Gordon University
116,"['royalholloway.ac.uk', 'rhbnc.ac.uk', 'rh.ac.uk']",,United Kingdom,GB,['http://www.royalholloway.ac.uk/'],Royal Holloway and Bedford New College
117,['richmond.ac.uk'],,United Kingdom,GB,['http://www.richmond.ac.uk/'],Richmond University - The American International University in London
118,['roehampton.ac.uk'],,United Kingdom,GB,['http://www.roehampton.ac.uk/'],Roehampton University of Surrey
119,['salford.ac.uk'],,United Kingdom,GB,['http://www.salford.ac.uk/'],University of Salford
120,['sas.ac.uk'],,United Kingdom,GB,['http://www.sas.ac.uk/'],"School of Advanced Study, University of London"
121,['sbu.ac.uk'],,United Kingdom,GB,['http://www.sbu.ac.uk/'],South Bank University
122,['schillerlondon.ac.uk'],,United Kingdom,GB,['http://www.schillerlondon.ac.uk/'],"Schiller International University, London"
123,['sclondon.ac'],,United Kingdom,GB,['http://www.sclondon.ac/'],Stratford College London
124,['sghms.ac.uk'],,United Kingdom,GB,['http://www.sghms.ac.uk/'],"Saint George's Hospital Medical School, University of London"
125,"['shef.ac.uk', 'sheffield.ac.uk']",,United Kingdom,GB,['http://www.shef.ac.uk/'],University of Sheffield
126,['shu.ac.uk'],,United Kingdom,GB,['http://www.shu.ac.uk/'],Sheffield Hallam University
127,['smu.ac.uk'],,United Kingdom,GB,['http://www.smu.ac.uk/'],Swansea Metropolitan University
128,['soas.ac.uk'],,United Kingdom,GB,['http://www.soas.ac.uk/'],"School of Oriental and African Studies, University of London"
129,['solent.ac.uk'],,United Kingdom,GB,['http://www.solent.ac.uk/'],Southampton Solent University
130,['sothebysinstitutelondon.com'],,United Kingdom,GB,['http://www.sothebysinstitutelondon.com/'],Sotheby´s Institute of Art - London
131,['soton.ac.uk'],,United Kingdom,GB,['http://www.southampton.ac.uk/'],University of Southampton
132,['ssees.ac.uk'],,United Kingdom,GB,['http://www.ssees.ac.uk/'],"School of Slavonic and East European Studies, University of London"
133,['staffs.ac.uk'],,United Kingdom,GB,['http://www.staffs.ac.uk/'],Staffordshire University
134,"['st-andrews.ac.uk', 'st-and.ac.uk']",,United Kingdom,GB,['https://www.st-andrews.ac.uk/'],University of St. Andrews
135,['stir.ac.uk'],,United Kingdom,GB,['http://www.stir.ac.uk/'],University of Stirling
136,['st-patricks.ac.uk'],,United Kingdom,GB,['http://www.st-patricks.ac.uk/'],"St.Patrick's International College, London"
137,['strath.ac.uk'],,United Kingdom,GB,['http://www.strath.ac.uk/'],University of Strathclyde
138,['sunderland.ac.uk'],,United Kingdom,GB,['http://www.sunderland.ac.uk/'],University of Sunderland
139,['surrey.ac.uk'],,United Kingdom,GB,['http://www.surrey.ac.uk/'],University of Surrey
140,['sussex.ac.uk'],,United Kingdom,GB,['http://www.sussex.ac.uk/'],University of Sussex
141,['swan.ac.uk'],,United Kingdom,GB,['http://www.swan.ac.uk/'],"University of Wales, Swansea"
142,['tcm.ac.uk'],,United Kingdom,GB,['http://www.tcm.ac.uk/'],Trinity College of Music
143,['tees.ac.uk'],,United Kingdom,GB,['http://www.tees.ac.uk/'],University of Teesside
144,['trinity-cm.ac.uk'],,United Kingdom,GB,['http://www.trinity-cm.ac.uk/'],Trinity College Carmarthen
145,['tvu.ac.uk'],,United Kingdom,GB,['http://www.tvu.ac.uk/'],Thames Valley University
146,['ucl.ac.uk'],,United Kingdom,GB,['http://www.ucl.ac.uk/'],"University College London, University of London"
147,['uclan.ac.uk'],,United Kingdom,GB,['http://www.uclan.ac.uk/'],University of Central Lancashire
148,['ucs.ac.uk'],,United Kingdom,GB,['http://www.ucs.ac.uk/'],University Campus Suffolk
149,['uea.ac.uk'],,United Kingdom,GB,['http://www.uea.ac.uk/'],University of East Anglia
150,['uel.ac.uk'],,United Kingdom,GB,['http://www.uel.ac.uk/'],University of East London
151,['ukc.ac.uk'],,United Kingdom,GB,['http://www.ukc.ac.uk/'],University of Kent at Canterbury
152,['ulsop.ac.uk'],,United Kingdom,GB,['http://www.ulsop.ac.uk/'],"School of Pharmacy, University of London"
153,['ulst.ac.uk'],,United Kingdom,GB,['http://www.ulst.ac.uk/'],University of Ulster
154,['umds.ac.uk'],,United Kingdom,GB,['http://www.umds.ac.uk/'],"United Medical and Dental Schools, University of London"
155,['unl.ac.uk'],,United Kingdom,GB,['http://www.unl.ac.uk/'],University of North London
156,['unn.ac.uk'],,United Kingdom,GB,['http://www.unn.ac.uk/'],University of Northumbria at Newcastle
157,['uwcm.ac.uk'],,United Kingdom,GB,['http://www.uwcm.ac.uk/'],University of Wales College of Medicine
158,['uwe.ac.uk'],,United Kingdom,GB,['http://www.uwe.ac.uk/'],"University of the West of England, Bristol"
159,['uwic.ac.uk'],,United Kingdom,GB,['http://www.uwic.ac.uk/'],"University of Wales Institute, Cardiff"
160,['wales.ac.uk'],,United Kingdom,GB,['http://www.wales.ac.uk/'],University of Wales
161,['warnborough.edu'],,United Kingdom,GB,['http://www.warnborough.edu/'],Warnborough University
162,['warwick.ac.uk'],,United Kingdom,GB,['http://www.warwick.ac.uk/'],University of Warwick
163,['westminster.ac.uk'],,United Kingdom,GB,['http://www.westminster.ac.uk/'],University of Westminster
164,['williamgilbert.co.uk'],,United Kingdom,GB,['http://www.williamgilbert.co.uk/'],William Gilbert College
165,['wimbledon.ac.uk'],,United Kingdom,GB,['http://www.wimbledon.ac.uk/'],Wimbledon School of Art
166,['wlv.ac.uk'],,United Kingdom,GB,['http://www.wlv.ac.uk/'],University of Wolverhampton
167,['worc.ac.uk'],,United Kingdom,GB,['http://www.worc.ac.uk/'],University of Worcester
168,['york.ac.uk'],,United Kingdom,GB,['http://www.york.ac.uk/'],University of York
